College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0071,105,9.62,9.12,1,'Yes',1,2,1,'No'
CLG0072,123,8.74,9.11,8,'No',2,9,0,'Yes'
CLG0073,99,8.33,8.5,2,'No',10,10,3,'Yes'
CLG0074,123,7.91,7.51,4,'No',0,9,1,'No'
CLG0075,60,7.44,7.6,10,'Yes',2,2,4,'No'
CLG0076,112,5.93,6.04,5,'No',3,9,3,'Yes'
CLG0077,101,9.47,9.44,2,'No',5,9,4,'Yes'
CLG0078,95,6.24,6.16,10,'No',2,10,2,'No'
CLG0079,101,5.46,5.85,9,'Yes',10,6,4,'No'
CLG0080,70,8.75,8.5,2,'No',5,5,0,'No'
CLG0081,96,5.88,5.78,6,'No',1,10,2,'No'
CLG0082,105,6.86,6.69,7,'No',10,2,5,'No'
CLG0083,122,5.14,5.41,6,'No',7,6,5,'No'
CLG0084,92,5.69,6.11,4,'No',4,9,1,'No'
CLG0085,87,5.87,6.22,1,'No',0,3,3,'No'
CLG0086,92,5.27,5.57,2,'No',5,3,3,'No'
CLG0087,113,8.28,8.77,10,'No',2,4,0,'No'
CLG0088,104,9.19,9.39,10,'Yes',3,10,4,'Yes'
CLG0089,92,6.87,7.12,6,'No',9,4,1,'No'
CLG0090,107,9.37,9.85,8,'Yes',7,1,5,'No'
CLG0091,101,6.07,5.58,3,'Yes',7,2,4,'No'
CLG0092,114,6.63,6.76,7,'No',10,6,5,'No'
CLG0093,89,5.75,5.99,9,'No',7,5,4,'No'
CLG0094,95,8.1,8.52,4,'Yes',4,10,0,'No'
CLG0095,94,7.1,7.48,7,'No',0,4,5,'No'
CLG0096,78,8.07,8.41,7,'No',8,10,2,'Yes'
CLG0097,104,8.81,9.26,10,'No',10,9,5,'Yes'
CLG0098,103,7.73,7.77,9,'Yes',8,2,2,'No'
CLG0099,100,8.14,7.65,3,'No',7,8,0,'No'
CLG0100,96,9.68,9.19,1,'Yes',10,4,0,'No'
CLG0101,78,6.5,6.54,8,'Yes',2,9,0,'No'
CLG0102,93,6.8,6.74,4,'No',5,4,4,'No'
CLG0103,94,8.59,8.54,2,'No',6,2,5,'No'
CLG0104,87,8.06,7.96,5,'No',3,6,5,'No'
CLG0105,97,5.89,6.31,4,'No',9,9,4,'No'
CLG0106,106,6.88,6.74,1,'Yes',6,7,1,'No'
CLG0107,128,7.34,7.7,7,'No',8,1,0,'No'
CLG0108,102,7.1,7.5,4,'No',5,9,4,'No'
CLG0109,103,5.89,5.89,8,'Yes',1,6,2,'No'
CLG0110,98,9.62,9.57,9,'No',5,9,5,'Yes'
CLG0111,71,8.81,9.07,8,'Yes',2,2,5,'No'
CLG0112,99,7.41,7.62,1,'No',6,7,0,'No'
CLG0113,100,8.4,8.23,8,'Yes',2,8,2,'Yes'
CLG0114,136,9.49,9.09,5,'No',7,8,3,'Yes'
CLG0115,97,5.68,5.44,1,'Yes',10,5,1,'No'
CLG0116,104,6.25,5.88,9,'Yes',10,7,3,'No'
CLG0117,99,7.71,7.5,9,'No',4,7,1,'No'
CLG0118,82,9,8.76,7,'No',2,3,0,'No'
CLG0119,117,5.18,5.32,7,'No',0,2,5,'No'
CLG0120,111,9.92,10.37,1,'No',4,5,1,'No'
CLG0121,111,7.27,7.46,9,'No',9,4,4,'No'
CLG0122,86,6.8,7.23,1,'Yes',9,8,2,'No'
CLG0123,121,6.46,6.74,7,'No',10,5,5,'No'
CLG0124,78,5.87,6.1,9,'No',2,9,4,'No'
CLG0125,108,8.96,8.87,9,'No',3,7,0,'No'
CLG0126,132,9.78,9.6,5,'No',9,1,3,'Yes'
CLG0127,85,7.07,7.42,6,'No',3,2,2,'No'
CLG0128,91,9.76,10.17,2,'No',2,8,0,'No'
CLG0129,101,9.12,9.07,2,'No',5,10,4,'Yes'
CLG0130,92,7.41,6.92,10,'No',5,8,4,'No'
CLG0131,76,8.37,8.66,9,'No',0,2,1,'No'
CLG0132,101,7.17,6.96,1,'No',3,7,1,'No'
CLG0133,84,7.79,7.3,10,'Yes',0,8,3,'No'
CLG0134,107,5.29,5.59,5,'Yes',6,4,1,'No'
CLG0135,86,8.48,8.5,7,'No',6,3,1,'No'
CLG0136,123,5.26,5.45,10,'Yes',5,10,1,'No'
CLG0137,88,9.09,9.5,6,'No',10,9,3,'Yes'
CLG0138,95,9.12,9.16,6,'No',1,2,0,'No'
CLG0139,112,6.19,6.19,6,'No',3,3,5,'No'
CLG0140,81,6.62,6.41,8,'No',2,8,2,'No'
CLG0141,103,7.41,7.22,7,'Yes',10,2,0,'No'
CLG0142,119,7.98,8.28,5,'No',7,5,5,'Yes'
CLG0143,75,6.44,6.39,10,'No',1,10,5,'No'
CLG0144,102,7.96,7.62,2,'Yes',9,8,0,'No'
CLG0145,103,6.49,6.08,10,'No',1,7,0,'No'
CLG0146,111,5.28,5.25,6,'Yes',0,4,4,'No'
CLG0147,81,5.01,4.97,10,'No',8,10,2,'No'
CLG0148,80,5.51,5.66,5,'No',2,9,2,'No'
CLG0149,107,8.96,8.93,4,'Yes',7,2,4,'No'
CLG0150,104,9.81,9.45,10,'No',6,7,5,'No'
CLG0151,103,7.13,7.14,5,'No',0,7,4,'No'
CLG0152,105,7.56,7.97,9,'No',10,7,5,'No'
CLG0153,89,5.73,5.39,2,'Yes',5,7,1,'No'
CLG0154,103,7.76,7.95,6,'No',7,5,4,'No'
CLG0155,104,5.72,5.81,9,'No',5,1,3,'No'
CLG0156,89,8.06,8.31,10,'No',8,4,4,'No'
CLG0157,127,9.67,9.32,5,'Yes',9,5,1,'No'
CLG0158,107,5.98,6.42,6,'No',2,10,4,'No'
CLG0159,82,8.82,8.94,10,'No',5,4,3,'No'
CLG0160,109,5.12,5.47,4,'Yes',9,7,4,'No'
CLG0161,85,6.88,6.63,5,'No',3,2,5,'No'
CLG0162,111,5.55,5.79,8,'No',9,2,0,'No'
CLG0163,117,6.76,7.04,1,'Yes',2,2,2,'No'
CLG0164,87,5.87,5.77,1,'Yes',7,10,3,'No'
CLG0165,114,6.87,6.75,10,'Yes',6,3,3,'No'
CLG0166,106,7.09,7.25,4,'Yes',6,5,3,'No'
CLG0167,112,6.5,6.09,10,'Yes',4,10,5,'Yes'
CLG0168,128,8.28,8.52,3,'Yes',0,9,0,'Yes'
CLG0169,96,9.59,9.13,5,'Yes',5,3,0,'No'
CLG0170,88,7,6.69,10,'Yes',5,6,2,'No'
CLG0171,86,5.96,6.12,8,'Yes',2,6,1,'No'
CLG0172,87,6.35,5.95,1,'No',4,6,2,'No'
CLG0173,98,9.27,9.74,5,'No',8,5,3,'No'
CLG0174,105,7.86,8.23,5,'No',6,2,3,'No'
CLG0175,104,7.28,7.41,2,'Yes',7,1,3,'No'
CLG0176,112,5.75,6.07,5,'Yes',8,5,2,'No'
CLG0177,100,7.25,7.64,8,'Yes',5,8,1,'No'
CLG0178,121,6.39,6.15,10,'Yes',4,10,1,'No'
CLG0179,96,9.72,10.07,7,'No',9,5,2,'No'
CLG0180,140,9.42,9.11,2,'No',4,3,5,'Yes'
CLG0181,109,5.42,5.33,6,'Yes',4,3,3,'No'
CLG0182,87,7.58,7.64,10,'No',3,2,2,'No'
CLG0183,83,6.13,6.34,1,'No',1,7,2,'No'
CLG0184,107,7.05,6.58,10,'No',6,2,4,'No'
CLG0185,96,9.38,9.17,10,'Yes',6,6,4,'No'
CLG0186,110,7.64,7.75,3,'Yes',7,8,0,'No'
CLG0187,107,6.67,6.53,6,'No',7,8,0,'No'
CLG0188,98,6.04,6.32,9,'Yes',10,2,2,'No'
CLG0189,87,9,9.15,1,'No',7,6,4,'No'
CLG0190,77,8.12,7.85,6,'Yes',8,3,3,'No'
CLG0191,93,7.34,6.99,2,'Yes',5,9,0,'No'
CLG0192,112,6.09,6.22,9,'Yes',3,3,3,'No'
CLG0193,103,6.67,6.62,2,'Yes',1,1,3,'No'
CLG0194,81,9.8,9.47,3,'No',4,9,0,'No'
CLG0195,102,7.6,7.43,2,'Yes',5,8,5,'No'
CLG0196,105,7,6.8,4,'Yes',6,2,2,'No'
CLG0197,86,7.61,7.22,4,'No',5,10,4,'No'
CLG0198,102,8.89,8.94,10,'Yes',3,10,0,'No'
CLG0199,100,6.7,6.96,1,'Yes',3,3,1,'No'
CLG0200,82,5.89,5.97,8,'Yes',6,7,1,'No'
CLG0201,105,7.92,8.25,5,'Yes',0,6,3,'No'
CLG0202,108,8.33,7.96,8,'No',2,8,1,'No'
CLG0203,116,8.56,8.5,6,'Yes',9,10,3,'Yes'
CLG0204,115,9.41,9.52,2,'No',1,5,5,'Yes'
CLG0205,79,6.86,7.04,7,'No',1,5,5,'No'
CLG0206,85,5.38,5.58,10,'No',6,2,5,'No'
CLG0207,107,9.79,10.02,9,'No',4,6,5,'No'
CLG0208,107,7.18,7.33,7,'Yes',2,5,5,'No'
CLG0209,107,8.12,7.71,5,'No',8,9,4,'No'
CLG0210,157,8.33,8.53,4,'No',8,3,0,'No'
CLG0211,108,7.73,7.95,8,'No',2,5,0,'No'
CLG0212,117,6.03,6.52,6,'No',1,3,4,'No'
CLG0213,114,8.78,8.97,5,'Yes',2,9,3,'Yes'
CLG0214,109,9.02,9.21,7,'Yes',8,9,5,'Yes'
CLG0215,95,7.76,7.77,3,'Yes',7,10,2,'No'
CLG0216,111,7.44,7.81,9,'No',2,7,1,'No'
CLG0217,88,5.57,6.07,4,'No',3,1,5,'No'
CLG0218,96,5.42,5.7,4,'No',4,9,4,'No'
CLG0219,92,6.7,6.81,8,'No',3,9,1,'No'
CLG0220,101,6.55,6.13,6,'Yes',10,10,2,'No'
CLG0221,134,9.77,10,1,'Yes',1,5,3,'Yes'
CLG0222,71,8.92,9.13,2,'No',10,2,5,'No'
CLG0223,110,8.3,8.58,9,'No',8,1,1,'No'
CLG0224,75,7.59,7.21,6,'No',1,2,3,'No'
CLG0225,92,5.84,5.99,7,'Yes',4,4,5,'No'
CLG0226,116,9.89,9.69,9,'No',10,4,2,'Yes'
CLG0227,100,6.88,7.14,3,'Yes',8,1,3,'No'
CLG0228,83,5.53,5.27,5,'Yes',7,8,2,'No'
CLG0229,89,7.47,7.65,5,'Yes',0,10,0,'No'
CLG0230,110,9.37,9.16,10,'No',2,8,1,'No'
CLG0231,89,9.44,8.95,7,'Yes',9,8,1,'No'
CLG0232,103,5.05,5.18,2,'Yes',8,5,2,'No'
CLG0233,100,9.43,9.04,4,'No',2,10,2,'Yes'
CLG0234,90,6.36,6.52,4,'No',10,2,4,'No'
CLG0235,132,5.19,5.62,8,'Yes',3,4,2,'No'
CLG0236,109,9.24,9.71,10,'Yes',2,1,2,'No'
CLG0237,69,9.32,9.06,3,'No',6,10,3,'Yes'
CLG0238,102,7.98,8.29,2,'No',8,1,3,'No'
CLG0239,90,7.87,7.72,9,'No',3,10,1,'No'
CLG0240,112,9.07,9.47,4,'No',8,3,3,'Yes'
CLG0241,88,8.93,9.22,9,'Yes',1,4,3,'No'
CLG0242,98,9.45,9.02,6,'No',1,3,1,'No'
CLG0243,107,7.76,7.67,1,'No',8,3,5,'No'
CLG0244,112,9.84,9.68,3,'No',6,8,0,'Yes'
CLG0245,81,9.98,10.27,7,'No',4,4,4,'No'
CLG0246,94,5.58,5.49,9,'Yes',4,3,3,'No'
CLG0247,92,9.25,9.43,8,'Yes',8,9,0,'No'
CLG0248,90,7.5,7.6,5,'Yes',10,1,4,'No'
CLG0249,126,6.94,7.42,8,'Yes',3,8,1,'No'
CLG0250,106,8.07,8.51,2,'No',10,5,3,'No'
CLG0251,81,5.28,5.21,3,'No',0,8,5,'No'
CLG0252,113,7.53,7.75,8,'No',5,10,3,'Yes'
CLG0253,131,9.35,9.68,9,'Yes',2,3,2,'Yes'
CLG0254,115,6.07,6.47,10,'No',1,6,3,'No'
CLG0255,77,7.13,6.7,8,'Yes',3,7,3,'No'
CLG0256,92,9.7,9.5,4,'Yes',8,8,0,'No'
CLG0257,119,7.14,6.96,6,'No',7,7,0,'No'
CLG0258,89,6.79,6.72,5,'Yes',6,7,3,'No'
CLG0259,106,7.2,6.87,4,'No',1,2,5,'No'
CLG0260,111,7.6,7.6,9,'Yes',0,3,4,'No'
CLG0261,86,8.16,8.32,10,'No',6,6,1,'No'
CLG0262,99,9,9,3,'No',9,3,5,'No'
CLG0263,51,7.26,7.43,1,'No',4,9,0,'No'
CLG0264,84,9.09,8.66,7,'No',10,9,5,'Yes'
CLG0265,96,7.67,8.05,10,'Yes',7,6,5,'No'
CLG0266,81,6.69,7.13,8,'Yes',4,1,4,'No'
CLG0267,124,8.29,8.41,3,'No',9,1,5,'Yes'
CLG0268,78,8.59,8.97,3,'No',4,4,3,'No'
CLG0269,93,7.79,7.42,6,'No',7,10,2,'No'
CLG0270,101,5.28,5.58,2,'No',8,8,0,'No'
CLG0271,121,5.85,5.47,6,'No',1,3,5,'No'
CLG0272,78,6.43,6.34,5,'No',7,4,0,'No'
CLG0273,117,6.41,6.23,7,'No',6,6,2,'No'
CLG0274,100,8.37,8.46,9,'No',7,9,3,'Yes'
CLG0275,85,5.09,4.89,9,'No',2,4,0,'No'
CLG0276,106,8.78,8.92,1,'No',3,3,3,'No'
CLG0277,102,6.33,6.2,7,'No',6,10,4,'No'
CLG0278,90,6.55,6.91,3,'No',4,10,0,'No'
CLG0279,101,7.64,7.77,4,'Yes',6,9,3,'No'
CLG0280,94,6.08,5.8,2,'Yes',5,7,4,'No'
CLG0281,101,9.42,9.26,1,'No',3,9,5,'Yes'
CLG0282,109,5.43,5.78,10,'Yes',1,10,0,'No'
CLG0283,123,7.22,7.11,3,'Yes',5,6,1,'No'
CLG0284,81,9.25,9.29,10,'No',5,4,3,'No'
CLG0285,131,8.08,8.23,9,'No',5,5,4,'Yes'
CLG0286,70,6.46,6.31,1,'Yes',0,10,5,'No'
CLG0287,97,7.1,6.89,3,'No',5,2,1,'No'
CLG0288,108,8.53,8.51,5,'Yes',1,3,3,'No'
CLG0289,104,9.87,9.58,3,'No',9,5,0,'No'
CLG0290,90,9.47,9.25,4,'No',4,3,5,'No'
CLG0291,96,6.71,6.27,4,'No',6,3,3,'No'
CLG0292,92,9.99,9.79,1,'Yes',9,9,4,'Yes'
CLG0293,91,5.02,4.84,6,'Yes',0,4,0,'No'
CLG0294,112,5.14,5.6,7,'Yes',4,4,0,'No'
CLG0295,105,9.12,9.21,7,'Yes',8,1,5,'No'
CLG0296,89,6,6.29,6,'No',2,7,0,'No'
CLG0297,113,5.3,4.85,7,'No',1,10,2,'Yes'
CLG0298,104,6.19,5.8,3,'Yes',9,9,4,'No'
CLG0299,112,7.13,7.44,5,'Yes',1,8,1,'No'
CLG0300,109,8.65,8.77,7,'Yes',2,2,0,'No'
CLG0301,87,8.12,7.81,10,'No',0,6,4,'No'
CLG0302,91,6.19,6.09,5,'Yes',1,10,2,'No'
CLG0303,111,7.52,7.56,10,'Yes',5,10,2,'Yes'
CLG0304,109,9.63,9.97,2,'Yes',7,5,5,'No'
CLG0305,99,9.08,8.64,6,'No',3,8,0,'No'
CLG0306,101,6.62,6.72,7,'Yes',1,1,4,'No'
CLG0307,119,9.91,10.13,2,'No',4,9,2,'Yes'
CLG0308,91,8.54,9.02,10,'No',2,9,0,'No'
CLG0309,108,5.31,5.62,8,'Yes',4,7,5,'No'
CLG0310,96,5.18,4.96,5,'Yes',2,8,3,'No'
CLG0311,96,5.84,6.05,8,'No',10,9,3,'No'
CLG0312,116,8.64,8.9,3,'No',3,5,3,'Yes'
CLG0313,112,5.92,6.15,2,'Yes',4,2,1,'No'
CLG0314,112,7.56,7.88,7,'Yes',6,1,4,'No'
CLG0315,119,5.47,5.87,5,'Yes',1,5,5,'No'
CLG0316,100,9.6,9.2,5,'No',5,8,3,'Yes'
CLG0317,110,6.72,6.32,8,'No',5,10,2,'No'
CLG0318,95,9.54,9.84,9,'No',5,4,1,'No'
CLG0319,104,9.72,9.47,8,'Yes',6,4,3,'No'
CLG0320,98,5.03,4.59,10,'No',10,4,0,'No'
CLG0321,101,7.32,7.22,2,'No',2,8,2,'No'
CLG0322,108,5.12,5.44,10,'Yes',4,7,1,'No'
CLG0323,87,9.54,9.17,7,'No',8,1,1,'No'
CLG0324,131,7.59,7.76,5,'No',8,10,2,'Yes'
CLG0325,84,5.37,4.87,7,'Yes',6,6,3,'No'
CLG0326,81,5.55,5.16,3,'Yes',8,4,5,'No'
CLG0327,117,6.92,6.77,4,'Yes',2,2,5,'No'
CLG0328,111,9.7,9.28,7,'No',6,3,0,'No'
CLG0329,109,8.46,8.81,2,'No',0,4,0,'No'
CLG0330,109,9.34,9.7,2,'No',6,10,5,'Yes'
CLG0331,99,6.83,7.09,1,'Yes',2,7,5,'No'
CLG0332,86,5.22,4.96,1,'No',2,1,0,'No'
CLG0333,101,9.87,9.89,1,'Yes',6,1,1,'No'
CLG0334,89,5.09,4.77,6,'Yes',7,3,3,'No'
CLG0335,114,9.74,9.52,5,'Yes',3,2,5,'Yes'
CLG0336,97,6.84,6.86,10,'Yes',0,3,5,'No'
CLG0337,87,5.05,5.29,8,'No',4,3,2,'No'
CLG0338,95,8.45,8.04,5,'Yes',9,1,4,'No'
CLG0339,106,9.9,9.7,1,'Yes',3,6,0,'No'
CLG0340,91,9.83,10.26,8,'No',8,8,2,'Yes'
CLG0341,87,5.8,5.73,6,'No',2,5,5,'No'
CLG0342,103,5.91,6.35,8,'Yes',3,1,5,'No'
CLG0343,103,7.83,8.32,2,'Yes',9,10,2,'Yes'
CLG0344,92,8.19,8.22,10,'Yes',2,7,5,'No'
CLG0345,92,8.7,8.49,8,'No',2,10,0,'No'
CLG0346,103,5.91,6.2,6,'No',6,9,4,'No'
CLG0347,78,9.8,9.46,1,'No',4,7,1,'No'
CLG0348,78,8.19,7.94,1,'Yes',4,9,1,'No'
CLG0349,89,9.24,9.52,10,'No',3,10,3,'Yes'
CLG0350,96,7.7,7.63,5,'No',9,9,5,'No'
CLG0351,104,7.07,6.77,7,'Yes',7,2,1,'No'
CLG0352,122,9.89,10.04,4,'No',0,8,2,'Yes'
CLG0353,112,7.91,8.14,10,'No',10,7,1,'No'
CLG0354,97,9.33,8.96,5,'No',8,7,3,'No'
CLG0355,99,9.77,9.55,10,'No',10,2,2,'No'
CLG0356,84,8.38,8.1,3,'No',8,1,2,'No'
CLG0357,99,7.74,7.62,2,'No',10,4,4,'No'
CLG0358,95,5.02,5.28,2,'No',4,7,5,'No'
CLG0359,104,5.2,5.41,5,'No',0,6,0,'No'
CLG0360,87,6,6.16,4,'Yes',1,10,0,'No'
CLG0361,107,5.93,5.44,2,'No',1,2,0,'No'
CLG0362,122,6.27,5.91,5,'Yes',5,7,3,'No'
CLG0363,98,6.52,6.24,10,'Yes',9,10,1,'No'
CLG0364,106,6.8,6.57,9,'No',8,9,0,'No'
CLG0365,110,7.1,6.75,8,'No',2,2,1,'No'
CLG0366,93,5.49,5.4,9,'No',7,10,0,'No'
CLG0367,103,5.21,4.79,9,'No',1,5,4,'No'
CLG0368,100,8.37,8.62,8,'No',4,2,1,'No'
CLG0369,101,7.69,7.98,9,'No',3,1,3,'No'
CLG0370,88,7.22,7.29,4,'No',4,7,5,'No'
CLG0371,100,8.17,7.76,8,'Yes',3,2,5,'No'
CLG0372,107,9.14,9.53,2,'No',0,6,3,'No'
CLG0373,121,7.14,7.61,9,'No',0,7,1,'No'
CLG0374,114,8.21,7.91,9,'No',5,1,5,'No'
CLG0375,132,9.77,9.97,3,'No',7,9,3,'Yes'
CLG0376,88,9.2,9.54,6,'No',6,6,2,'No'
CLG0377,113,7.13,7.17,7,'Yes',3,2,3,'No'
CLG0378,102,8.22,8.04,3,'Yes',4,1,4,'No'
CLG0379,132,5.89,5.87,5,'No',7,1,4,'No'
CLG0380,87,7.8,7.81,1,'No',5,2,1,'No'
CLG0381,87,9.91,9.81,3,'Yes',7,9,3,'Yes'
CLG0382,91,7.59,8.02,8,'No',5,2,1,'No'
CLG0383,68,9.64,9.88,3,'No',7,1,0,'No'
CLG0384,92,7.04,6.78,8,'Yes',3,4,2,'No'
CLG0385,88,9.99,10.08,9,'No',9,9,1,'No'
CLG0386,102,7.9,8.09,6,'Yes',1,8,1,'No'
CLG0387,105,5.21,4.85,7,'No',2,7,1,'No'
CLG0388,128,7.93,7.79,6,'No',4,8,5,'Yes'
CLG0389,114,6.37,6.78,8,'No',3,2,1,'No'
CLG0390,91,5.16,5.23,7,'No',4,5,5,'No'
CLG0391,86,9.1,8.82,10,'No',0,7,4,'No'
CLG0392,107,6.38,6,1,'No',0,1,2,'No'
CLG0393,80,8.98,9,3,'Yes',1,6,0,'No'
CLG0394,127,6.44,6.49,3,'No',10,7,2,'No'
CLG0395,117,5.97,5.8,3,'No',1,8,1,'No'
CLG0396,92,9.87,10,4,'Yes',7,5,4,'No'
CLG0397,74,6.81,6.38,1,'No',9,8,0,'No'
CLG0398,120,8.01,7.66,2,'Yes',3,10,5,'Yes'
CLG0399,98,8.05,8.1,5,'No',5,1,1,'No'
CLG0400,118,7.8,7.36,6,'Yes',1,4,5,'No'
CLG0401,76,9.57,9.95,9,'Yes',0,6,1,'No'
CLG0402,91,8.37,8.01,2,'No',6,4,3,'No'
CLG0403,100,7.02,7.19,9,'No',3,5,2,'No'
CLG0404,100,9.31,9.2,7,'No',3,2,2,'No'
CLG0405,93,5.91,5.81,9,'No',1,7,2,'No'
CLG0406,109,7.72,7.98,4,'Yes',8,9,3,'No'
CLG0407,83,9.75,9.75,7,'Yes',1,7,4,'No'
CLG0408,97,8.13,8.36,1,'Yes',4,1,4,'No'
CLG0409,101,9.08,9.09,8,'No',5,2,4,'No'
CLG0410,107,8.27,8.36,7,'Yes',2,8,5,'Yes'
CLG0411,110,9.2,9.46,7,'No',10,1,0,'No'
CLG0412,83,9.72,9.83,2,'Yes',2,2,3,'No'
CLG0413,76,6.36,6.48,10,'Yes',5,5,3,'No'
CLG0414,119,5.85,6.14,9,'Yes',4,6,4,'No'
CLG0415,104,7.42,7.87,8,'No',4,1,4,'No'
CLG0416,88,8.51,8.39,1,'Yes',4,1,4,'No'
CLG0417,123,6.14,6.22,1,'Yes',8,2,3,'No'
CLG0418,101,5.02,4.61,5,'No',7,3,4,'No'
CLG0419,117,6.71,6.57,2,'Yes',3,9,2,'Yes'
CLG0420,101,9.84,9.75,1,'No',5,3,4,'No'
CLG0421,130,8.47,8.81,10,'No',4,8,2,'Yes'
CLG0422,126,7.01,7.02,8,'Yes',10,6,1,'No'
CLG0423,96,5.96,6.19,4,'No',5,10,1,'No'
CLG0424,114,6.78,6.3,2,'No',10,5,3,'No'
CLG0425,109,5.85,5.81,5,'No',7,9,0,'No'
CLG0426,120,5.53,5.93,6,'Yes',5,8,5,'Yes'
CLG0427,85,9.53,9.25,8,'Yes',5,3,1,'No'
CLG0428,110,9.99,9.52,7,'No',1,7,3,'No'
CLG0429,115,5.82,5.75,7,'Yes',6,4,3,'No'
CLG0430,73,5.27,5.47,1,'No',2,8,2,'No'
CLG0431,82,6.65,6.6,3,'No',6,7,2,'No'
